neighbors,.metric,.estimator,mean,n,std_err,.config
1,accuracy,binary,0.8996350364963503,5,0.0025153373635201123,pre0_mod01_post0
1,j_index,binary,0.07807547428450894,5,0.02027502891031094,pre0_mod01_post0
1,sensitivity,binary,0.9397047109482284,5,0.0032629518267875105,pre0_mod01_post0
11,accuracy,binary,0.7941605839416058,5,0.011060863109993975,pre0_mod02_post0
11,j_index,binary,0.32901697801649166,5,0.05280201849795423,pre0_mod02_post0
11,sensitivity,binary,0.8087234324815669,5,0.010858372669547938,pre0_mod02_post0
21,accuracy,binary,0.7496350364963503,5,0.013961941068166851,pre0_mod03_post0
21,j_index,binary,0.4033201943935801,5,0.045639245095852855,pre0_mod03_post0
21,sensitivity,binary,0.7553645995414334,5,0.015644218505338436,pre0_mod03_post0
31,accuracy,binary,0.7328467153284671,5,0.00913502993487871,pre0_mod04_post0
31,j_index,binary,0.42685572637179464,5,0.03913833934243623,pre0_mod04_post0
31,sensitivity,binary,0.7353673679868845,5,0.010815156719610121,pre0_mod04_post0
41,accuracy,binary,0.7167883211678832,5,0.009365421474712655,pre0_mod05_post0
41,j_index,binary,0.4301046032370061,5,0.029471549178674516,pre0_mod05_post0
41,sensitivity,binary,0.7173057035415547,5,0.011057252023245171,pre0_mod05_post0
51,accuracy,binary,0.7076642335766423,5,0.007308388465146275,pre0_mod06_post0
51,j_index,binary,0.4006314188197321,5,0.03527640577423912,pre0_mod06_post0
51,sensitivity,binary,0.7088581601499218,5,0.00941581908728121,pre0_mod06_post0
61,accuracy,binary,0.6981751824817518,5,0.009006542101644562,pre0_mod07_post0
61,j_index,binary,0.39010919103898606,5,0.03293687384587328,pre0_mod07_post0
61,sensitivity,binary,0.6988735097343393,5,0.01095620956575288,pre0_mod07_post0
71,accuracy,binary,0.6937956204379562,5,0.01001823155570131,pre0_mod08_post0
71,j_index,binary,0.3994089004121998,5,0.03129047076305224,pre0_mod08_post0
71,sensitivity,binary,0.6935065524408863,5,0.012253491339592006,pre0_mod08_post0
81,accuracy,binary,0.689051094890511,5,0.010283943652266692,pre0_mod09_post0
81,j_index,binary,0.402545402193658,5,0.04258209044359576,pre0_mod09_post0
81,sensitivity,binary,0.688132198539075,5,0.012948777167407553,pre0_mod09_post0
91,accuracy,binary,0.6864963503649635,5,0.0119577773178145,pre0_mod10_post0
91,j_index,binary,0.4202727254090127,5,0.038472097190538276,pre0_mod10_post0
91,sensitivity,binary,0.6842963033636251,5,0.014652205428325885,pre0_mod10_post0
101,accuracy,binary,0.6821167883211678,5,0.013151352369873904,pre0_mod11_post0
101,j_index,binary,0.42971984465564245,5,0.04375349696793969,pre0_mod11_post0
101,sensitivity,binary,0.6789286077954401,5,0.015899745212136957,pre0_mod11_post0
111,accuracy,binary,0.6817518248175183,5,0.014047539601399815,pre0_mod12_post0
111,j_index,binary,0.45760462465111573,5,0.04292326747784123,pre0_mod12_post0
111,sensitivity,binary,0.6770202843426375,5,0.01715853321455856,pre0_mod12_post0
121,accuracy,binary,0.6802919708029197,5,0.01322709509081762,pre0_mod13_post0
121,j_index,binary,0.44349910764745243,5,0.05128727217021212,pre0_mod13_post0
121,sensitivity,binary,0.6762481006723076,5,0.016576429452383985,pre0_mod13_post0
131,accuracy,binary,0.6751824817518248,5,0.014287284037272545,pre0_mod14_post0
131,j_index,binary,0.4503833871962691,5,0.03769384712156629,pre0_mod14_post0
131,sensitivity,binary,0.6701067391954831,5,0.01715153432183682,pre0_mod14_post0
141,accuracy,binary,0.6697080291970803,5,0.015234767492512267,pre0_mod15_post0
141,j_index,binary,0.4446303351083406,5,0.03726968241156534,pre0_mod15_post0
141,sensitivity,binary,0.6643536871075547,5,0.018114571778885646,pre0_mod15_post0
151,accuracy,binary,0.6678832116788321,5,0.013533208918057777,pre0_mod16_post0
151,j_index,binary,0.44823970979412864,5,0.030493613820161122,pre0_mod16_post0
151,sensitivity,binary,0.6620371358674169,5,0.01604522970540276,pre0_mod16_post0
161,accuracy,binary,0.6624087591240876,5,0.014712149175727272,pre0_mod17_post0
161,j_index,binary,0.4362046065057723,5,0.03136769722533109,pre0_mod17_post0
161,sensitivity,binary,0.6566686992457272,5,0.017453137286842682,pre0_mod17_post0
171,accuracy,binary,0.6631386861313868,5,0.014270959705122009,pre0_mod18_post0
171,j_index,binary,0.44325072653883607,5,0.03059445740759216,pre0_mod18_post0
171,sensitivity,binary,0.6570481526121242,5,0.01674775259823387,pre0_mod18_post0
181,accuracy,binary,0.6631386861313868,5,0.013179175244721023,pre0_mod19_post0
181,j_index,binary,0.44324335546902377,5,0.031718183376709806,pre0_mod19_post0
181,sensitivity,binary,0.6570407815423119,5,0.015570010768881109,pre0_mod19_post0
191,accuracy,binary,0.6613138686131387,5,0.014047539601399792,pre0_mod20_post0
191,j_index,binary,0.4340169617668021,5,0.030406797858926474,pre0_mod20_post0
191,sensitivity,binary,0.6555066955323979,5,0.016507665842580874,pre0_mod20_post0
