neighbors,.metric,.estimator,mean,n,std_err,.config
101,accuracy,binary,0.6821167883211678,5,0.013151352369873904,pre0_mod01_post0
101,j_index,binary,0.42971984465564245,5,0.04375349696793969,pre0_mod01_post0
101,sensitivity,binary,0.6789286077954401,5,0.015899745212136957,pre0_mod01_post0
102,accuracy,binary,0.6821167883211678,5,0.013151352369873904,pre0_mod02_post0
102,j_index,binary,0.42971984465564245,5,0.04375349696793969,pre0_mod02_post0
102,sensitivity,binary,0.6789286077954401,5,0.015899745212136957,pre0_mod02_post0
103,accuracy,binary,0.6832116788321168,5,0.01319180260724657,pre0_mod03_post0
103,j_index,binary,0.4450062021331339,5,0.04329582826734902,pre0_mod03_post0
103,sensitivity,binary,0.6793184135487935,5,0.016032129459907986,pre0_mod03_post0
104,accuracy,binary,0.6832116788321168,5,0.01319180260724657,pre0_mod04_post0
104,j_index,binary,0.4450062021331339,5,0.04329582826734902,pre0_mod04_post0
104,sensitivity,binary,0.6793184135487935,5,0.016032129459907986,pre0_mod04_post0
105,accuracy,binary,0.6824817518248175,5,0.013692212760805882,pre0_mod05_post0
105,j_index,binary,0.44423990444925665,5,0.04254144817925124,pre0_mod05_post0
105,sensitivity,binary,0.6785521158649164,5,0.0166122563595922,pre0_mod05_post0
106,accuracy,binary,0.6824817518248175,5,0.013692212760805882,pre0_mod06_post0
106,j_index,binary,0.44423990444925665,5,0.04254144817925124,pre0_mod06_post0
106,sensitivity,binary,0.6785521158649164,5,0.0166122563595922,pre0_mod06_post0
107,accuracy,binary,0.6817518248175183,5,0.013166535771932443,pre0_mod07_post0
107,j_index,binary,0.4434677150238039,5,0.04320082766631832,pre0_mod07_post0
107,sensitivity,binary,0.6777799264394635,5,0.016019464978028107,pre0_mod07_post0
108,accuracy,binary,0.6817518248175183,5,0.013166535771932443,pre0_mod08_post0
108,j_index,binary,0.4434677150238039,5,0.04320082766631832,pre0_mod08_post0
108,sensitivity,binary,0.6777799264394635,5,0.016019464978028107,pre0_mod08_post0
109,accuracy,binary,0.6817518248175183,5,0.01384458156086909,pre0_mod09_post0
109,j_index,binary,0.44998555731292444,5,0.03833979569702875,pre0_mod09_post0
109,sensitivity,binary,0.6774012170044462,5,0.01659532037924095,pre0_mod09_post0
110,accuracy,binary,0.6817518248175183,5,0.01384458156086909,pre0_mod10_post0
110,j_index,binary,0.44998555731292444,5,0.03833979569702875,pre0_mod10_post0
110,sensitivity,binary,0.6774012170044462,5,0.01659532037924095,pre0_mod10_post0
111,accuracy,binary,0.6817518248175183,5,0.014047539601399815,pre0_mod11_post0
111,j_index,binary,0.45760462465111573,5,0.04292326747784123,pre0_mod11_post0
111,sensitivity,binary,0.6770202843426375,5,0.01715853321455856,pre0_mod11_post0
112,accuracy,binary,0.6817518248175183,5,0.014047539601399815,pre0_mod12_post0
112,j_index,binary,0.45760462465111573,5,0.04292326747784123,pre0_mod12_post0
112,sensitivity,binary,0.6770202843426375,5,0.01715853321455856,pre0_mod12_post0
113,accuracy,binary,0.6817518248175183,5,0.014165568390565956,pre0_mod13_post0
113,j_index,binary,0.45760536577027044,5,0.042406655262058064,pre0_mod13_post0
113,sensitivity,binary,0.6770210254617922,5,0.017334779272974363,pre0_mod13_post0
114,accuracy,binary,0.6817518248175183,5,0.014165568390565956,pre0_mod14_post0
114,j_index,binary,0.45760536577027044,5,0.042406655262058064,pre0_mod14_post0
114,sensitivity,binary,0.6770210254617922,5,0.017334779272974363,pre0_mod14_post0
115,accuracy,binary,0.6802919708029197,5,0.014045168908681654,pre0_mod15_post0
115,j_index,binary,0.4560691046999569,5,0.0425055754056945,pre0_mod15_post0
115,sensitivity,binary,0.6754847643914786,5,0.017211369245844838,pre0_mod15_post0
116,accuracy,binary,0.6802919708029197,5,0.014045168908681654,pre0_mod16_post0
116,j_index,binary,0.4560691046999569,5,0.0425055754056945,pre0_mod16_post0
116,sensitivity,binary,0.6754847643914786,5,0.017211369245844838,pre0_mod16_post0
117,accuracy,binary,0.6802919708029197,5,0.014545982031663957,pre0_mod17_post0
117,j_index,binary,0.4560690905738089,5,0.04229298631477592,pre0_mod17_post0
117,sensitivity,binary,0.6754847502653307,5,0.017700877709340868,pre0_mod17_post0
118,accuracy,binary,0.6802919708029197,5,0.014545982031663957,pre0_mod18_post0
118,j_index,binary,0.4560690905738089,5,0.04229298631477592,pre0_mod18_post0
118,sensitivity,binary,0.6754847502653307,5,0.017700877709340868,pre0_mod18_post0
119,accuracy,binary,0.6813868613138686,5,0.014118475280207822,pre0_mod19_post0
119,j_index,binary,0.45722371468280293,5,0.043045764511399,pre0_mod19_post0
119,sensitivity,binary,0.6766393743743248,5,0.017212037748270046,pre0_mod19_post0
120,accuracy,binary,0.6813868613138686,5,0.014118475280207822,pre0_mod20_post0
120,j_index,binary,0.45722371468280293,5,0.043045764511399,pre0_mod20_post0
120,sensitivity,binary,0.6766393743743248,5,0.017212037748270046,pre0_mod20_post0
121,accuracy,binary,0.6802919708029197,5,0.01322709509081762,pre0_mod21_post0
121,j_index,binary,0.44349910764745243,5,0.05128727217021212,pre0_mod21_post0
121,sensitivity,binary,0.6762481006723076,5,0.016576429452383985,pre0_mod21_post0
